SN_NO,Price,Food_Name
0,59,Veg Hot & Sour Soup [Family]
1,79,Chicken Hot & Sour Soup [Family]
2,99,Mutton Soup [Family]
3,69,Leg PieceRoast [1pcs]
4,159,Chicken fry [B]
5,179,Chicken Fry B L [Family]
6,159,Chicken Roast B [Family]
7,179,Chicken Roast B L [Family]
8,179,Chicken 65
9,179,Chilli Chicken [Family]
10,179,Chicken Lollypop [5pcs]
11,159,Pepper Chicken B [Family]
12,179,Dragon Chicken B L [Family]
13,179,Apollo Fish Fry & Roast [Family]
14,189,Prawns Fry & Roast [Family]
15,199,Chilly Prawns
16,249,Triveni Dry Spl
17,249,Mutton Chukka [Family]
18,249,Spring Onion Mutton Dry
19,179,Tandoori chicken Half
20,349,Tandoori Chicken Full
21,99,Plain Biryani
22,119,Egg Biryani
23,200,Hyd Chicken Dum Biryani
24,220,Akka Bava Spl Chicken Biryani B L
25,220,Chicken Fry Biryani
26,220,Chicken Lollipop Biryani
27,229,Prawns Fry Biryani
28,249,"Triveni Biryani [Ckn, Prawns,Mutton]"
29,249,Mutton Fry Biryani B
30,109,Gobi Manchuria
31,109,Gobi 65
32,109,Chilli Gobi
33,139,Mushroom 65
34,139,Pepper Mushroom
35,139,Mushroom Roast & Fry
36,139,Mushroom Chilly
37,149,Paneer Tikka Dry
38,149,Chilli Paneer
39,149,Paneer 65
40,159,Paneer Roast
41,109,Dal Makhani
42,119,Alu Gobi Matar Masala
43,119,Veg Kolhapuri
44,149,Mixed Veg Curry
45,149,Kadai Veg Curry
46,149,Mushroom Masala
47,149,Kadai Mushroom
48,159,Paneer Butter Masala
49,159,Palak Panner
50,159,Shahi Panner
51,159,Kadai Panner
52,159,Panner Tikka Masala
53,179,Kaju Panner
54,159,Kaju Mushroom Masala     
55,179,Kaju Curru
56,159,Kaju Mushroom Masala
57,99,Veg Fried Rice
58,99,Jeera Rice
59,119,Gobi Fried Rice
60,119,Mushroom Fried Rice
61,129,Panner Fried Rice
62,129,Kaju Fried Rice
63,139,Chicken Fried Rice
64,99,Egg Fried Rice
65,15,Pulka
66,20,Tandoori Roti
67,30,Butter Roti
68,30,Plain Naan
69,35,Butter Naan
70,35,Plain Kulcha
71,40,Butter Kulcha
72,45,Panner Kulcha
73,45,Garlic Naan
